"統計名：","人口推計 国勢調査結果による補間補正人口 国勢調査結果による補間補正人口（1995年～2015年）"
"表番号：","004"
"表題：","都道府県別人口増減率－総人口"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","該当数値がないもの"
"-","該当数値がないもの　"

"","","","","","","/時間軸（年間） コード","1995001011","1996001011","1997001011","1998001011","1999001011","2000001011","2001001011","2002001010","2003001010","2004001010","2005001010","2006001010","2007001010","2008001010","2009001010","2010001010","2011001010","2012001010","2013001010","2014001010"
"","","","","","","/時間軸（年間） 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","全国・都道府県 コード","全国・都道府県 補助コード","全国・都道府県","/時間軸（年間）","1995年10月～1996年9月","1996年10月～1997年9月","1997年10月～1998年9月","1998年10月～1999年9月","1999年10月～2000年9月","2000年10月～2001年9月","2001年10月～2002年9月","2002年10月～2003年9月","2003年10月～2004年9月","2004年10月～2005年9月","2005年10月～2006年9月","2006年10月～2007年9月","2007年10月～2008年9月","2008年10月～2009年9月","2009年10月～2010年9月","2010年10月～2011年9月","2011年10月～2012年9月","2012年10月～2013年9月","2013年10月～2014年9月","2014年10月～2015年9月"
"004","","人口増減率【千人比，‰】","27000","","大阪府","","1.1","0.1","0.6","-0.1","-0.8","1.8","0.0","0.4","0.1","-0.9","1.3","1.2","0.9","0.9","1.2","-0.2","-0.3","-0.5","-1.2","-0.6"
"004","","人口増減率【千人比，‰】","28000","","兵庫県","","3.6","6.2","7.1","6.2","4.1","3.8","1.5","1.5","0.6","-0.2","0.3","0.1","-0.1","-0.3","-0.4","-0.7","-1.6","-2.0","-2.5","-2.8"
"004","","人口増減率【千人比，‰】","29000","","奈良県","","4.6","3.0","1.0","0.8","-1.0","-0.8","-3.4","-1.9","-4.0","-4.9","-3.1","-3.0","-3.6","-2.5","-2.2","-4.0","-4.9","-5.2","-6.0","-6.0"
"004","","人口増減率【千人比，‰】","30000","","和歌山県","","-0.9","-1.4","-2.0","-1.8","-3.6","-4.4","-6.0","-6.5","-6.5","-8.7","-6.8","-7.7","-6.9","-6.2","-5.5","-6.9","-7.0","-8.1","-8.1","-9.1"
"004","","人口増減率【千人比，‰】","31000","","鳥取県","","-0.7","-0.3","0.7","-1.2","-1.2","0.1","-1.5","-1.8","-2.3","-4.8","-4.2","-6.3","-7.2","-7.0","-5.9","-4.2","-5.1","-5.9","-5.2","-5.8"
"004","","人口増減率【千人比，‰】","32000","","島根県","","-2.2","-2.8","-3.2","-3.1","-1.7","-1.5","-5.7","-4.9","-6.7","-6.8","-6.6","-6.4","-7.3","-8.3","-5.2","-6.3","-6.9","-6.0","-7.0","-6.4"
"004","","人口増減率【千人比，‰】","33000","","岡山県","","0.1","0.7","0.3","-0.2","-0.9","1.8","0.8","1.1","0.3","-0.7","-0.5","-0.2","-1.3","-2.5","-1.7","-2.2","-2.1","-2.8","-2.8","-2.4"
"004","","人口増減率【千人比，‰】","34000","","広島県","","-0.1","0.1","0.3","-0.5","-0.7","0.3","-0.5","0.4","-0.3","-0.7","-0.6","-0.3","-1.5","-1.9","-1.3","-0.8","-1.2","-1.8","-1.1","-0.9"
"004","","人口増減率【千人比，‰】","35000","","山口県","","-3.5","-3.1","-3.5","-3.5","-4.3","-3.0","-4.3","-4.3","-5.4","-6.4","-5.5","-5.8","-6.4","-4.9","-5.3","-4.9","-7.0","-6.5","-6.8","-7.4"
"004","","人口増減率【千人比，‰】","36000","","徳島県","","-1.4","-1.5","-1.2","-2.5","-3.4","-2.1","-2.5","-3.3","-4.4","-5.0","-5.5","-6.5","-7.0","-5.9","-5.6","-7.1","-6.5","-7.9","-8.0","-8.9"
"004","","人口増減率【千人比，‰】","37000","","香川県","","-0.3","-0.7","-0.5","-0.6","-1.8","-1.0","-2.3","-1.5","-2.3","-3.3","-3.2","-3.3","-3.1","-3.4","-3.5","-4.1","-3.1","-3.9","-4.7","-4.1"
"004","","人口増減率【千人比，‰】","38000","","愛媛県","","-1.1","-1.1","-1.4","-3.2","-2.2","-2.0","-3.5","-2.7","-4.3","-4.6","-5.0","-5.2","-5.2","-5.2","-4.4","-5.6","-5.9","-6.7","-6.8","-7.7"
"004","","人口増減率【千人比，‰】","39000","","高知県","","-0.6","-0.3","-0.5","-0.7","-1.3","-1.9","-3.4","-4.6","-4.9","-7.1","-7.9","-9.2","-9.7","-8.3","-5.6","-8.6","-9.7","-9.7","-10.4","-9.8"
"004","","人口増減率【千人比，‰】","40000","","福岡県","","3.9","3.8","3.8","2.4","2.7","2.9","1.8","1.2","1.0","-0.0","1.4","0.8","0.2","0.3","1.6","1.8","1.6","1.3","0.7","0.5"
"004","","人口増減率【千人比，‰】","41000","","佐賀県","","-0.0","-2.3","-1.8","-2.4","-2.2","-0.5","-2.8","-1.9","-2.8","-3.8","-4.0","-3.8","-3.8","-4.2","-3.5","-2.8","-3.2","-3.8","-4.8","-5.4"
"004","","人口増減率【千人比，‰】","42000","","長崎県","","-3.0","-4.4","-4.6","-3.9","-2.6","-2.9","-5.0","-4.7","-5.0","-7.7","-7.6","-8.2","-8.5","-6.6","-4.8","-6.4","-6.6","-7.7","-7.2","-7.3"
"004","","人口増減率【千人比，‰】","43000","","熊本県","","0.6","0.3","0.1","-0.5","-0.8","0.2","-1.6","-2.3","-2.1","-3.4","-2.2","-3.6","-2.8","-3.0","-1.9","-2.6","-3.0","-3.2","-3.8","-4.7"
"004","","人口増減率【千人比，‰】","44000","","大分県","","-1.2","-1.3","-1.6","-1.8","-2.3","-0.6","-1.1","-1.8","-2.2","-3.7","-2.1","-1.0","-1.2","-3.4","-3.1","-3.9","-4.6","-5.5","-5.9","-5.6"
"004","","人口増減率【千人比，‰】","45000","","宮崎県","","0.7","-1.3","-1.6","-0.9","-1.8","-1.8","-2.5","-2.4","-2.9","-5.0","-3.0","-3.4","-4.3","-2.8","-2.1","-4.2","-4.7","-5.5","-6.1","-7.3"
"004","","人口増減率【千人比，‰】","46000","","鹿児島県","","-0.6","-0.6","-1.0","-1.5","-0.8","-2.6","-3.1","-3.4","-4.0","-5.6","-5.2","-6.5","-6.9","-5.0","-3.4","-5.3","-6.2","-6.8","-8.0","-8.2"
"004","","人口増減率【千人比，‰】","47000","","沖縄県","","6.5","5.9","6.9","7.4","8.1","6.8","6.6","6.6","6.4","6.1","5.5","4.0","2.5","5.0","5.8","6.8","6.5","5.2","4.9","5.6"
