"時点","地域コード","地域","有効求人倍率【倍】","注記","新規求人倍率【倍】","注記","労働力人口（国勢調査）【人】","注記","第１次産業就業者数【人】","注記","第２次産業就業者数【人】","注記","第３次産業就業者数【人】","注記"
"1963年3月","47000","沖縄県","0.41","","0.66","","","","","","","","",""
"1963年4月","01000","北海道","1.49","","2.77","","","","","","","","",""
"1963年4月","02000","青森県","0.21","","0.76","","","","","","","","",""
"1963年4月","03000","岩手県","0.31","","0.71","","","","","","","","",""
"1963年4月","04000","宮城県","0.48","","0.75","","","","","","","","",""
"1963年4月","05000","秋田県","0.29","","2.49","","","","","","","","",""
"1963年4月","06000","山形県","0.43","","1.03","","","","","","","","",""
"1963年4月","07000","福島県","0.42","","0.88","","","","","","","","",""
"1963年4月","08000","茨城県","0.95","","1.51","","","","","","","","",""
"1963年4月","09000","栃木県","1.07","","1.11","","","","","","","","",""
"1963年4月","10000","群馬県","1.43","","1.98","","","","","","","","",""
"1963年4月","11000","埼玉県","1.29","","1.51","","","","","","","","",""
"1963年4月","12000","千葉県","0.64","","0.89","","","","","","","","",""
"1963年4月","13000","東京都","0.62","","0.89","","","","","","","","",""
"1963年4月","14000","神奈川県","0.86","","0.99","","","","","","","","",""
"1963年4月","15000","新潟県","0.72","","1.74","","","","","","","","",""
"1963年4月","16000","富山県","0.60","","1.82","","","","","","","","",""
"1963年4月","17000","石川県","1.13","","2.73","","","","","","","","",""
"1963年4月","18000","福井県","0.42","","1.97","","","","","","","","",""
"1963年4月","19000","山梨県","1.22","","1.28","","","","","","","","",""
"1963年4月","20000","長野県","0.88","","1.16","","","","","","","","",""
"1963年4月","21000","岐阜県","1.64","","2.89","","","","","","","","",""
"1963年4月","22000","静岡県","1.27","","1.75","","","","","","","","",""
"1963年4月","23000","愛知県","1.88","","2.16","","","","","","","","",""
"1963年4月","24000","三重県","0.65","","0.88","","","","","","","","",""
"1963年4月","25000","滋賀県","1.13","","1.64","","","","","","","","",""
"1963年4月","26000","京都府","0.75","","1.34","","","","","","","","",""
"1963年4月","27000","大阪府","0.60","","0.86","","","","","","","","",""
"1963年4月","28000","兵庫県","0.46","","0.73","","","","","","","","",""
"1963年4月","29000","奈良県","1.16","","1.36","","","","","","","","",""
"1963年4月","30000","和歌山県","0.51","","0.80","","","","","","","","",""
"1963年4月","31000","鳥取県","0.40","","0.73","","","","","","","","",""
"1963年4月","32000","島根県","0.35","","0.73","","","","","","","","",""
"1963年4月","33000","岡山県","0.58","","0.91","","","","","","","","",""
"1963年4月","34000","広島県","0.56","","0.87","","","","","","","","",""
"1963年4月","35000","山口県","0.23","","0.42","","","","","","","","",""
"1963年4月","36000","徳島県","0.34","","0.54","","","","","","","","",""
"1963年4月","37000","香川県","0.86","","1.09","","","","","","","","",""
"1963年4月","38000","愛媛県","0.32","","0.57","","","","","","","","",""
"1963年4月","39000","高知県","0.20","","0.25","","","","","","","","",""
"1963年4月","40000","福岡県","0.15","","0.34","","","","","","","","",""
"1963年4月","41000","佐賀県","0.16","","0.34","","","","","","","","",""
"1963年4月","42000","長崎県","0.25","","0.42","","","","","","","","",""
"1963年4月","43000","熊本県","0.20","","0.38","","","","","","","","",""
"1963年4月","44000","大分県","0.25","","0.42","","","","","","","","",""
"1963年4月","45000","宮崎県","0.13","","0.26","","","","","","","","",""
"1963年4月","46000","鹿児島県","0.12","","0.24","","","","","","","","",""
"1963年4月","47000","沖縄県","0.34","","0.63","","","","","","","","",""
"1963年5月","01000","北海道","1.65","","1.21","","","","","","","","",""
"1963年5月","02000","青森県","0.35","","0.72","","","","","","","","",""
"1963年5月","03000","岩手県","0.43","","0.84","","","","","","","","",""
"1963年5月","04000","宮城県","0.59","","0.75","","","","","","","","",""
"1963年5月","05000","秋田県","0.39","","1.33","","","","","","","","",""
"1963年5月","06000","山形県","0.73","","1.41","","","","","","","","",""
"1963年5月","07000","福島県","0.49","","0.94","","","","","","","","",""
"1963年5月","08000","茨城県","0.88","","0.84","","","","","","","","",""
"1963年5月","09000","栃木県","1.16","","1.27","","","","","","","","",""
"1963年5月","10000","群馬県","1.54","","1.28","","","","","","","","",""
"1963年5月","11000","埼玉県","1.45","","1.75","","","","","","","","",""
"1963年5月","12000","千葉県","0.59","","0.62","","","","","","","","",""
"1963年5月","13000","東京都","0.65","","1.00","","","","","","","","",""
"1963年5月","14000","神奈川県","0.89","","1.07","","","","","","","","",""
"1963年5月","15000","新潟県","0.77","","0.72","","","","","","","","",""
"1963年5月","16000","富山県","0.69","","1.36","","","","","","","","",""
"1963年5月","17000","石川県","0.99","","1.15","","","","","","","","",""
"1963年5月","18000","福井県","0.76","","1.24","","","","","","","","",""
"1963年5月","19000","山梨県","1.02","","1.03","","","","","","","","",""
"1963年5月","20000","長野県","0.94","","1.22","","","","","","","","",""
"1963年5月","21000","岐阜県","1.64","","2.79","","","","","","","","",""
"1963年5月","22000","静岡県","1.30","","1.63","","","","","","","","",""
"1963年5月","23000","愛知県","2.04","","2.45","","","","","","","","",""
"1963年5月","24000","三重県","0.80","","1.30","","","","","","","","",""
"1963年5月","25000","滋賀県","1.27","","1.42","","","","","","","","",""
