"時点","地域コード","地域","有効求人倍率【倍】","注記","新規求人倍率【倍】","注記","労働力人口（国勢調査）【人】","注記","第１次産業就業者数【人】","注記","第２次産業就業者数【人】","注記","第３次産業就業者数【人】","注記"
"1989年10月","37000","香川県","2.12","","2.91","","","","","","","","",""
"1989年10月","38000","愛媛県","1.21","","1.86","","","","","","","","",""
"1989年10月","39000","高知県","0.66","","1.20","","","","","","","","",""
"1989年10月","40000","福岡県","0.80","","1.25","","","","","","","","",""
"1989年10月","41000","佐賀県","1.11","","1.78","","","","","","","","",""
"1989年10月","42000","長崎県","1.00","","1.56","","","","","","","","",""
"1989年10月","43000","熊本県","0.99","","1.51","","","","","","","","",""
"1989年10月","44000","大分県","1.03","","1.61","","","","","","","","",""
"1989年10月","45000","宮崎県","1.06","","1.57","","","","","","","","",""
"1989年10月","46000","鹿児島県","0.90","","1.29","","","","","","","","",""
"1989年10月","47000","沖縄県","0.57","","0.78","","","","","","","","",""
"1989年11月","01000","北海道","0.60","","0.54","","","","","","","","",""
"1989年11月","02000","青森県","0.83","","0.72","","","","","","","","",""
"1989年11月","03000","岩手県","1.43","","1.49","","","","","","","","",""
"1989年11月","04000","宮城県","1.59","","2.22","","","","","","","","",""
"1989年11月","05000","秋田県","1.24","","1.03","","","","","","","","",""
"1989年11月","06000","山形県","1.66","","1.39","","","","","","","","",""
"1989年11月","07000","福島県","1.91","","2.61","","","","","","","","",""
"1989年11月","08000","茨城県","2.02","","3.02","","","","","","","","",""
"1989年11月","09000","栃木県","2.72","","3.79","","","","","","","","",""
"1989年11月","10000","群馬県","2.42","","3.55","","","","","","","","",""
"1989年11月","11000","埼玉県","1.51","","2.83","","","","","","","","",""
"1989年11月","12000","千葉県","1.53","","3.10","","","","","","","","",""
"1989年11月","13000","東京都","1.88","","3.08","","","","","","","","",""
"1989年11月","14000","神奈川県","1.58","","3.01","","","","","","","","",""
"1989年11月","15000","新潟県","1.85","","1.64","","","","","","","","",""
"1989年11月","16000","富山県","2.29","","3.53","","","","","","","","",""
"1989年11月","17000","石川県","1.90","","2.44","","","","","","","","",""
"1989年11月","18000","福井県","2.47","","3.52","","","","","","","","",""
"1989年11月","19000","山梨県","2.33","","3.95","","","","","","","","",""
"1989年11月","20000","長野県","2.46","","3.29","","","","","","","","",""
"1989年11月","21000","岐阜県","2.66","","4.27","","","","","","","","",""
"1989年11月","22000","静岡県","2.04","","3.55","","","","","","","","",""
"1989年11月","23000","愛知県","2.36","","4.72","","","","","","","","",""
"1989年11月","24000","三重県","1.80","","3.30","","","","","","","","",""
"1989年11月","25000","滋賀県","1.76","","3.49","","","","","","","","",""
"1989年11月","26000","京都府","1.00","","2.03","","","","","","","","",""
"1989年11月","27000","大阪府","1.21","","2.36","","","","","","","","",""
"1989年11月","28000","兵庫県","1.09","","1.92","","","","","","","","",""
"1989年11月","29000","奈良県","1.11","","1.97","","","","","","","","",""
"1989年11月","30000","和歌山県","1.11","","1.94","","","","","","","","",""
"1989年11月","31000","鳥取県","1.62","","2.21","","","","","","","","",""
"1989年11月","32000","島根県","2.01","","2.40","","","","","","","","",""
"1989年11月","33000","岡山県","1.73","","3.16","","","","","","","","",""
"1989年11月","34000","広島県","1.73","","3.10","","","","","","","","",""
"1989年11月","35000","山口県","1.40","","2.28","","","","","","","","",""
"1989年11月","36000","徳島県","1.02","","2.51","","","","","","","","",""
"1989年11月","37000","香川県","2.24","","3.24","","","","","","","","",""
"1989年11月","38000","愛媛県","1.23","","2.01","","","","","","","","",""
"1989年11月","39000","高知県","0.72","","1.68","","","","","","","","",""
"1989年11月","40000","福岡県","0.80","","1.63","","","","","","","","",""
"1989年11月","41000","佐賀県","1.15","","2.21","","","","","","","","",""
"1989年11月","42000","長崎県","1.00","","1.71","","","","","","","","",""
"1989年11月","43000","熊本県","0.99","","1.60","","","","","","","","",""
"1989年11月","44000","大分県","1.05","","1.71","","","","","","","","",""
"1989年11月","45000","宮崎県","1.11","","1.73","","","","","","","","",""
"1989年11月","46000","鹿児島県","0.94","","1.39","","","","","","","","",""
"1989年11月","47000","沖縄県","0.57","","0.71","","","","","","","","",""
"1989年12月","01000","北海道","0.27","","0.12","","","","","","","","",""
"1989年12月","02000","青森県","0.41","","0.19","","","","","","","","",""
"1989年12月","03000","岩手県","1.23","","0.90","","","","","","","","",""
"1989年12月","04000","宮城県","1.45","","1.73","","","","","","","","",""
"1989年12月","05000","秋田県","1.02","","0.74","","","","","","","","",""
"1989年12月","06000","山形県","1.49","","1.27","","","","","","","","",""
"1989年12月","07000","福島県","1.78","","2.05","","","","","","","","",""
"1989年12月","08000","茨城県","2.03","","3.40","","","","","","","","",""
"1989年12月","09000","栃木県","2.70","","3.60","","","","","","","","",""
"1989年12月","10000","群馬県","2.09","","2.70","","","","","","","","",""
"1989年12月","11000","埼玉県","1.45","","3.21","","","","","","","","",""
"1989年12月","12000","千葉県","1.49","","3.21","","","","","","","","",""
"1989年12月","13000","東京都","1.88","","3.48","","","","","","","","",""
"1989年12月","14000","神奈川県","1.51","","3.04","","","","","","","","",""
"1989年12月","15000","新潟県","1.66","","1.52","","","","","","","","",""
"1989年12月","16000","富山県","2.00","","2.16","","","","","","","","",""
"1989年12月","17000","石川県","1.73","","1.85","","","","","","","","",""
"1989年12月","18000","福井県","2.40","","2.84","","","","","","","","",""
"1989年12月","19000","山梨県","2.13","","2.66","","","","","","","","",""
"1989年12月","20000","長野県","2.15","","2.22","","","","","","","","",""
"1989年12月","21000","岐阜県","2.46","","3.41","","","","","","","","",""
"1989年12月","22000","静岡県","2.01","","4.17","","","","","","","","",""
"1989年12月","23000","愛知県","2.43","","5.21","","","","","","","","",""
"1989年12月","24000","三重県","1.76","","3.31","","","","","","","","",""
"1989年12月","25000","滋賀県","1.65","","3.23","","","","","","","","",""
"1989年12月","26000","京都府","0.99","","2.10","","","","","","","","",""
"1989年12月","27000","大阪府","1.17","","2.52","","","","","","","","",""
"1989年12月","28000","兵庫県","1.07","","2.05","","","","","","","","",""
"1989年12月","29000","奈良県","1.01","","2.04","","","","","","","","",""
"1989年12月","30000","和歌山県","1.16","","2.68","","","","","","","","",""
"1989年12月","31000","鳥取県","1.50","","2.26","","","","","","","","",""
"1989年12月","32000","島根県","2.08","","2.42","","","","","","","","",""
"1989年12月","33000","岡山県","1.78","","3.75","","","","","","","","",""
"1989年12月","34000","広島県","1.74","","3.49","","","","","","","","",""
"1989年12月","35000","山口県","1.40","","2.61","","","","","","","","",""
"1989年12月","36000","徳島県","1.02","","2.38","","","","","","","","",""
"1989年12月","37000","香川県","2.26","","3.44","","","","","","","","",""
"1989年12月","38000","愛媛県","1.24","","2.49","","","","","","","","",""
"1989年12月","39000","高知県","0.75","","1.58","","","","","","","","",""
"1989年12月","40000","福岡県","0.78","","1.76","","","","","","","","",""
"1989年12月","41000","佐賀県","1.21","","2.41","","","","","","","","",""
"1989年12月","42000","長崎県","1.02","","1.50","","","","","","","","",""
"1989年12月","43000","熊本県","0.94","","1.31","","","","","","","","",""
"1989年12月","44000","大分県","1.04","","1.83","","","","","","","","",""
"1989年12月","45000","宮崎県","1.09","","1.48","","","","","","","","",""
"1989年12月","46000","鹿児島県","0.93","","1.43","","","","","","","","",""
"1989年12月","47000","沖縄県","0.52","","0.75","","","","","","","","",""
"1990年1月","01000","北海道","0.22","","0.26","","","","","","","","",""
"1990年1月","02000","青森県","0.36","","0.35","","","","","","","","",""
"1990年1月","03000","岩手県","0.96","","0.86","","","","","","","","",""
"1990年1月","04000","宮城県","1.38","","1.80","","","","","","","","",""
"1990年1月","05000","秋田県","0.73","","0.56","","","","","","","","",""
"1990年1月","06000","山形県","1.25","","1.08","","","","","","","","",""
"1990年1月","07000","福島県","1.45","","1.67","","","","","","","","",""
"1990年1月","08000","茨城県","2.04","","2.80","","","","","","","","",""
"1990年1月","09000","栃木県","2.52","","3.02","","","","","","","","",""
"1990年1月","10000","群馬県","2.06","","2.83","","","","","","","","",""
"1990年1月","11000","埼玉県","1.37","","2.44","","","","","","","","",""
"1990年1月","12000","千葉県","1.49","","2.58","","","","","","","","",""
"1990年1月","13000","東京都","1.72","","2.90","","","","","","","","",""
"1990年1月","14000","神奈川県","1.42","","2.56","","","","","","","","",""
"1990年1月","15000","新潟県","1.28","","1.06","","","","","","","","",""
"1990年1月","16000","富山県","1.49","","1.35","","","","","","","","",""
"1990年1月","17000","石川県","1.33","","1.27","","","","","","","","",""
"1990年1月","18000","福井県","1.74","","1.56","","","","","","","","",""
"1990年1月","19000","山梨県","2.10","","3.13","","","","","","","","",""
"1990年1月","20000","長野県","1.96","","2.41","","","","","","","","",""
"1990年1月","21000","岐阜県","2.30","","3.00","","","","","","","","",""
"1990年1月","22000","静岡県","1.93","","2.92","","","","","","","","",""
"1990年1月","23000","愛知県","2.42","","4.21","","","","","","","","",""
"1990年1月","24000","三重県","1.75","","3.15","","","","","","","","",""
"1990年1月","25000","滋賀県","1.69","","2.72","","","","","","","","",""
"1990年1月","26000","京都府","0.95","","1.61","","","","","","","","",""
"1990年1月","27000","大阪府","1.27","","2.49","","","","","","","","",""
"1990年1月","28000","兵庫県","1.06","","1.86","","","","","","","","",""
"1990年1月","29000","奈良県","1.11","","1.86","","","","","","","","",""
"1990年1月","30000","和歌山県","1.16","","2.00","","","","","","","","",""
"1990年1月","31000","鳥取県","1.29","","1.51","","","","","","","","",""
"1990年1月","32000","島根県","1.96","","2.23","","","","","","","","",""
"1990年1月","33000","岡山県","1.78","","2.90","","","","","","","","",""
"1990年1月","34000","広島県","1.72","","2.59","","","","","","","","",""
"1990年1月","35000","山口県","1.41","","2.07","","","","","","","","",""
"1990年1月","36000","徳島県","1.06","","1.88","","","","","","","","",""
"1990年1月","37000","香川県","2.21","","3.06","","","","","","","","",""
"1990年1月","38000","愛媛県","1.29","","2.02","","","","","","","","",""
"1990年1月","39000","高知県","0.78","","1.29","","","","","","","","",""
"1990年1月","40000","福岡県","0.85","","1.61","","","","","","","","",""
"1990年1月","41000","佐賀県","1.18","","1.56","","","","","","","","",""
"1990年1月","42000","長崎県","1.02","","1.50","","","","","","","","",""
"1990年1月","43000","熊本県","0.95","","1.47","","","","","","","","",""
"1990年1月","44000","大分県","1.04","","1.42","","","","","","","","",""
"1990年1月","45000","宮崎県","1.04","","1.49","","","","","","","","",""
"1990年1月","46000","鹿児島県","0.91","","1.25","","","","","","","","",""
"1990年1月","47000","沖縄県","0.51","","0.80","","","","","","","","",""
"1990年2月","01000","北海道","0.43","","2.61","","","","","","","","",""
"1990年2月","02000","青森県","0.54","","0.71","","","","","","","","",""
"1990年2月","03000","岩手県","1.11","","1.38","","","","","","","","",""
"1990年2月","04000","宮城県","1.53","","2.25","","","","","","","","",""
"1990年2月","05000","秋田県","0.95","","1.34","","","","","","","","",""
"1990年2月","06000","山形県","1.49","","2.00","","","","","","","","",""
"1990年2月","07000","福島県","1.66","","2.37","","","","","","","","",""
"1990年2月","08000","茨城県","2.14","","3.04","","","","","","","","",""
"1990年2月","09000","栃木県","2.60","","3.45","","","","","","","","",""
"1990年2月","10000","群馬県","2.23","","3.42","","","","","","","","",""
"1990年2月","11000","埼玉県","1.42","","2.56","","","","","","","","",""
"1990年2月","12000","千葉県","1.52","","2.72","","","","","","","","",""
"1990年2月","13000","東京都","1.79","","2.97","","","","","","","","",""
"1990年2月","14000","神奈川県","1.54","","2.63","","","","","","","","",""
"1990年2月","15000","新潟県","1.51","","2.12","","","","","","","","",""
"1990年2月","16000","富山県","1.90","","3.13","","","","","","","","",""
"1990年2月","17000","石川県","1.64","","3.38","","","","","","","","",""
"1990年2月","18000","福井県","1.99","","3.24","","","","","","","","",""
"1990年2月","19000","山梨県","2.29","","3.80","","","","","","","","",""
"1990年2月","20000","長野県","2.24","","3.59","","","","","","","","",""
"1990年2月","21000","岐阜県","2.46","","3.74","","","","","","","","",""
"1990年2月","22000","静岡県","2.07","","3.45","","","","","","","","",""
"1990年2月","23000","愛知県","2.49","","4.23","","","","","","","","",""
"1990年2月","24000","三重県","1.92","","3.38","","","","","","","","",""
"1990年2月","25000","滋賀県","1.72","","2.70","","","","","","","","",""
"1990年2月","26000","京都府","1.02","","1.85","","","","","","","","",""
"1990年2月","27000","大阪府","1.32","","2.14","","","","","","","","",""
"1990年2月","28000","兵庫県","1.10","","1.84","","","","","","","","",""
"1990年2月","29000","奈良県","1.13","","1.75","","","","","","","","",""
"1990年2月","30000","和歌山県","1.20","","2.03","","","","","","","","",""
"1990年2月","31000","鳥取県","1.42","","2.47","","","","","","","","",""
"1990年2月","32000","島根県","2.01","","2.57","","","","","","","","",""
"1990年2月","33000","岡山県","1.90","","3.03","","","","","","","","",""
"1990年2月","34000","広島県","1.76","","2.77","","","","","","","","",""
"1990年2月","35000","山口県","1.42","","2.02","","","","","","","","",""
"1990年2月","36000","徳島県","1.03","","1.70","","","","","","","","",""
"1990年2月","37000","香川県","2.21","","2.76","","","","","","","","",""
"1990年2月","38000","愛媛県","1.32","","1.97","","","","","","","","",""
"1990年2月","39000","高知県","0.80","","1.40","","","","","","","","",""
"1990年2月","40000","福岡県","0.87","","1.43","","","","","","","","",""
"1990年2月","41000","佐賀県","1.16","","1.80","","","","","","","","",""
"1990年2月","42000","長崎県","1.06","","1.61","","","","","","","","",""
"1990年2月","43000","熊本県","0.98","","1.49","","","","","","","","",""
"1990年2月","44000","大分県","1.05","","1.51","","","","","","","","",""
"1990年2月","45000","宮崎県","1.13","","1.62","","","","","","","","",""
"1990年2月","46000","鹿児島県","0.97","","1.32","","","","","","","","",""
"1990年2月","47000","沖縄県","0.51","","0.64","","","","","","","","",""
"1990年3月","01000","北海道","0.85","","4.63","","","","","","","","",""
"1990年3月","02000","青森県","0.74","","0.69","","","","","","","","",""
"1990年3月","03000","岩手県","1.27","","1.54","","","","","","","","",""
"1990年3月","04000","宮城県","1.58","","1.75","","","","","","","","",""
"1990年3月","05000","秋田県","1.18","","1.29","","","","","","","","",""
"1990年3月","06000","山形県","1.76","","2.11","","","","","","","","",""
"1990年3月","07000","福島県","1.78","","2.27","","","","","","","","",""
"1990年3月","08000","茨城県","2.13","","2.44","","","","","","","","",""
"1990年3月","09000","栃木県","2.64","","3.11","","","","","","","","",""
"1990年3月","10000","群馬県","2.27","","2.61","","","","","","","","",""
"1990年3月","11000","埼玉県","1.47","","2.32","","","","","","","","",""
"1990年3月","12000","千葉県","1.56","","2.31","","","","","","","","",""
"1990年3月","13000","東京都","1.77","","2.26","","","","","","","","",""
"1990年3月","14000","神奈川県","1.49","","2.04","","","","","","","","",""
"1990年3月","15000","新潟県","1.69","","1.99","","","","","","","","",""
"1990年3月","16000","富山県","2.36","","2.88","","","","","","","","",""
"1990年3月","17000","石川県","1.87","","3.11","","","","","","","","",""
"1990年3月","18000","福井県","2.29","","2.88","","","","","","","","",""
"1990年3月","19000","山梨県","2.30","","3.26","","","","","","","","",""
"1990年3月","20000","長野県","2.31","","2.62","","","","","","","","",""
"1990年3月","21000","岐阜県","2.56","","3.27","","","","","","","","",""
"1990年3月","22000","静岡県","2.12","","2.98","","","","","","","","",""
"1990年3月","23000","愛知県","2.48","","3.50","","","","","","","","",""
"1990年3月","24000","三重県","1.90","","2.44","","","","","","","","",""
"1990年3月","25000","滋賀県","1.76","","2.40","","","","","","","","",""
"1990年3月","26000","京都府","1.08","","1.67","","","","","","","","",""
"1990年3月","27000","大阪府","1.35","","1.80","","","","","","","","",""
"1990年3月","28000","兵庫県","1.14","","1.60","","","","","","","","",""
"1990年3月","29000","奈良県","1.18","","1.70","","","","","","","","",""
"1990年3月","30000","和歌山県","1.21","","1.82","","","","","","","","",""
"1990年3月","31000","鳥取県","1.56","","2.04","","","","","","","","",""
"1990年3月","32000","島根県","2.10","","2.26","","","","","","","","",""
"1990年3月","33000","岡山県","1.93","","2.53","","","","","","","","",""
"1990年3月","34000","広島県","1.79","","2.29","","","","","","","","",""
"1990年3月","35000","山口県","1.47","","1.93","","","","","","","","",""
"1990年3月","36000","徳島県","1.15","","1.94","","","","","","","","",""
"1990年3月","37000","香川県","2.16","","2.47","","","","","","","","",""
"1990年3月","38000","愛媛県","1.35","","1.84","","","","","","","","",""
"1990年3月","39000","高知県","0.80","","1.15","","","","","","","","",""
"1990年3月","40000","福岡県","0.91","","1.32","","","","","","","","",""
"1990年3月","41000","佐賀県","1.15","","1.56","","","","","","","","",""
"1990年3月","42000","長崎県","1.11","","1.50","","","","","","","","",""
"1990年3月","43000","熊本県","1.02","","1.35","","","","","","","","",""
"1990年3月","44000","大分県","1.09","","1.46","","","","","","","","",""
"1990年3月","45000","宮崎県","1.13","","1.34","","","","","","","","",""
"1990年3月","46000","鹿児島県","0.97","","1.09","","","","","","","","",""
"1990年3月","47000","沖縄県","0.55","","0.65","","","","","","","","",""
"1990年4月","01000","北海道","0.96","","2.20","","","","","","","","",""
"1990年4月","02000","青森県","0.60","","0.39","","","","","","","","",""
"1990年4月","03000","岩手県","1.18","","1.00","","","","","","","","",""
"1990年4月","04000","宮城県","1.47","","1.52","","","","","","","","",""
"1990年4月","05000","秋田県","0.87","","0.60","","","","","","","","",""
"1990年4月","06000","山形県","1.40","","0.87","","","","","","","","",""
"1990年4月","07000","福島県","1.68","","1.82","","","","","","","","",""
"1990年4月","08000","茨城県","1.94","","1.99","","","","","","","","",""
"1990年4月","09000","栃木県","2.34","","2.19","","","","","","","","",""
"1990年4月","10000","群馬県","2.08","","2.17","","","","","","","","",""
"1990年4月","11000","埼玉県","1.39","","1.76","","","","","","","","",""
"1990年4月","12000","千葉県","1.43","","1.83","","","","","","","","",""
"1990年4月","13000","東京都","1.61","","2.02","","","","","","","","",""
"1990年4月","14000","神奈川県","1.36","","1.74","","","","","","","","",""
"1990年4月","15000","新潟県","1.59","","1.44","","","","","","","","",""
"1990年4月","16000","富山県","2.20","","2.19","","","","","","","","",""
"1990年4月","17000","石川県","1.81","","1.59","","","","","","","","",""
"1990年4月","18000","福井県","2.37","","2.53","","","","","","","","",""
"1990年4月","19000","山梨県","2.35","","2.75","","","","","","","","",""
"1990年4月","20000","長野県","2.12","","1.80","","","","","","","","",""
"1990年4月","21000","岐阜県","2.45","","2.85","","","","","","","","",""
"1990年4月","22000","静岡県","1.97","","2.26","","","","","","","","",""
"1990年4月","23000","愛知県","2.26","","2.95","","","","","","","","",""
"1990年4月","24000","三重県","1.70","","2.22","","","","","","","","",""
"1990年4月","25000","滋賀県","1.61","","2.03","","","","","","","","",""
"1990年4月","26000","京都府","0.98","","1.27","","","","","","","","",""
"1990年4月","27000","大阪府","1.21","","1.62","","","","","","","","",""
"1990年4月","28000","兵庫県","1.00","","1.26","","","","","","","","",""
"1990年4月","29000","奈良県","1.11","","1.34","","","","","","","","",""
"1990年4月","30000","和歌山県","1.10","","1.57","","","","","","","","",""
"1990年4月","31000","鳥取県","1.54","","1.53","","","","","","","","",""
"1990年4月","32000","島根県","2.02","","1.79","","","","","","","","",""
"1990年4月","33000","岡山県","1.75","","2.01","","","","","","","","",""
"1990年4月","34000","広島県","1.61","","1.82","","","","","","","","",""
"1990年4月","35000","山口県","1.35","","1.63","","","","","","","","",""
"1990年4月","36000","徳島県","1.21","","1.14","","","","","","","","",""
"1990年4月","37000","香川県","1.99","","2.16","","","","","","","","",""
"1990年4月","38000","愛媛県","1.18","","1.28","","","","","","","","",""
"1990年4月","39000","高知県","0.65","","0.66","","","","","","","","",""
"1990年4月","40000","福岡県","0.81","","1.03","","","","","","","","",""
"1990年4月","41000","佐賀県","1.05","","1.22","","","","","","","","",""
"1990年4月","42000","長崎県","1.02","","1.15","","","","","","","","",""
"1990年4月","43000","熊本県","0.96","","1.05","","","","","","","","",""
"1990年4月","44000","大分県","1.01","","1.11","","","","","","","","",""
"1990年4月","45000","宮崎県","0.97","","0.98","","","","","","","","",""
"1990年4月","46000","鹿児島県","0.74","","0.62","","","","","","","","",""
"1990年4月","47000","沖縄県","0.49","","0.54","","","","","","","","",""
"1990年5月","01000","北海道","0.92","","1.46","","","","","","","","",""
"1990年5月","02000","青森県","0.53","","0.44","","","","","","","","",""
"1990年5月","03000","岩手県","1.10","","1.09","","","","","","","","",""
"1990年5月","04000","宮城県","1.38","","1.74","","","","","","","","",""
"1990年5月","05000","秋田県","0.65","","0.46","","","","","","","","",""
"1990年5月","06000","山形県","1.10","","0.86","","","","","","","","",""
"1990年5月","07000","福島県","1.67","","2.19","","","","","","","","",""
"1990年5月","08000","茨城県","1.87","","2.56","","","","","","","","",""
"1990年5月","09000","栃木県","2.25","","2.72","","","","","","","","",""
"1990年5月","10000","群馬県","2.04","","2.67","","","","","","","","",""
"1990年5月","11000","埼玉県","1.33","","2.01","","","","","","","","",""
"1990年5月","12000","千葉県","1.35","","2.06","","","","","","","","",""
"1990年5月","13000","東京都","1.52","","2.19","","","","","","","","",""
"1990年5月","14000","神奈川県","1.25","","1.87","","","","","","","","",""
"1990年5月","15000","新潟県","1.59","","1.78","","","","","","","","",""
"1990年5月","16000","富山県","2.11","","2.65","","","","","","","","",""
"1990年5月","17000","石川県","1.77","","2.16","","","","","","","","",""
"1990年5月","18000","福井県","2.20","","2.65","","","","","","","","",""
"1990年5月","19000","山梨県","2.35","","3.38","","","","","","","","",""
"1990年5月","20000","長野県","2.19","","2.94","","","","","","","","",""
"1990年5月","21000","岐阜県","2.41","","3.43","","","","","","","","",""
"1990年5月","22000","静岡県","1.84","","2.70","","","","","","","","",""
"1990年5月","23000","愛知県","2.12","","3.44","","","","","","","","",""
"1990年5月","24000","三重県","1.58","","2.37","","","","","","","","",""
"1990年5月","25000","滋賀県","1.57","","2.38","","","","","","","","",""
"1990年5月","26000","京都府","0.97","","1.59","","","","","","","","",""
"1990年5月","27000","大阪府","1.15","","1.81","","","","","","","","",""
"1990年5月","28000","兵庫県","0.95","","1.45","","","","","","","","",""
"1990年5月","29000","奈良県","1.08","","1.54","","","","","","","","",""
"1990年5月","30000","和歌山県","1.08","","1.75","","","","","","","","",""
"1990年5月","31000","鳥取県","1.46","","2.14","","","","","","","","",""
"1990年5月","32000","島根県","1.91","","2.15","","","","","","","","",""
"1990年5月","33000","岡山県","1.66","","2.38","","","","","","","","",""
"1990年5月","34000","広島県","1.55","","2.27","","","","","","","","",""
"1990年5月","35000","山口県","1.34","","1.83","","","","","","","","",""
"1990年5月","36000","徳島県","0.95","","1.33","","","","","","","","",""
"1990年5月","37000","香川県","2.03","","2.72","","","","","","","","",""
"1990年5月","38000","愛媛県","1.07","","1.34","","","","","","","","",""
"1990年5月","39000","高知県","0.55","","0.63","","","","","","","","",""
"1990年5月","40000","福岡県","0.78","","1.25","","","","","","","","",""
"1990年5月","41000","佐賀県","1.02","","1.48","","","","","","","","",""
"1990年5月","42000","長崎県","0.97","","1.37","","","","","","","","",""
"1990年5月","43000","熊本県","0.92","","1.28","","","","","","","","",""
"1990年5月","44000","大分県","0.98","","1.31","","","","","","","","",""
"1990年5月","45000","宮崎県","0.87","","0.99","","","","","","","","",""
"1990年5月","46000","鹿児島県","0.71","","0.92","","","","","","","","",""
"1990年5月","47000","沖縄県","0.47","","0.57","","","","","","","","",""
"1990年6月","01000","北海道","0.81","","1.17","","","","","","","","",""
"1990年6月","02000","青森県","0.75","","0.91","","","","","","","","",""
"1990年6月","03000","岩手県","1.30","","2.02","","","","","","","","",""
"1990年6月","04000","宮城県","1.42","","2.15","","","","","","","","",""
"1990年6月","05000","秋田県","0.87","","1.35","","","","","","","","",""
"1990年6月","06000","山形県","1.36","","1.92","","","","","","","","",""
"1990年6月","07000","福島県","1.79","","2.72","","","","","","","","",""
"1990年6月","08000","茨城県","1.97","","3.15","","","","","","","","",""
"1990年6月","09000","栃木県","2.27","","3.35","","","","","","","","",""
"1990年6月","10000","群馬県","2.14","","3.59","","","","","","","","",""
"1990年6月","11000","埼玉県","1.35","","2.77","","","","","","","","",""
"1990年6月","12000","千葉県","1.38","","2.83","","","","","","","","",""
"1990年6月","13000","東京都","1.53","","2.82","","","","","","","","",""
"1990年6月","14000","神奈川県","1.32","","2.75","","","","","","","","",""
"1990年6月","15000","新潟県","1.78","","2.61","","","","","","","","",""
"1990年6月","16000","富山県","2.21","","3.39","","","","","","","","",""
"1990年6月","17000","石川県","1.90","","3.05","","","","","","","","",""
"1990年6月","18000","福井県","2.40","","3.44","","","","","","","","",""
"1990年6月","19000","山梨県","2.57","","4.80","","","","","","","","",""
"1990年6月","20000","長野県","2.30","","3.92","","","","","","","","",""
"1990年6月","21000","岐阜県","2.57","","4.11","","","","","","","","",""
"1990年6月","22000","静岡県","1.94","","3.81","","","","","","","","",""
"1990年6月","23000","愛知県","2.22","","4.43","","","","","","","","",""
"1990年6月","24000","三重県","1.75","","3.07","","","","","","","","",""
"1990年6月","25000","滋賀県","1.66","","3.18","","","","","","","","",""
"1990年6月","26000","京都府","0.98","","1.95","","","","","","","","",""
"1990年6月","27000","大阪府","1.19","","2.29","","","","","","","","",""
"1990年6月","28000","兵庫県","1.01","","1.95","","","","","","","","",""
"1990年6月","29000","奈良県","1.10","","1.95","","","","","","","","",""
"1990年6月","30000","和歌山県","1.11","","2.04","","","","","","","","",""
"1990年6月","31000","鳥取県","1.59","","2.75","","","","","","","","",""
"1990年6月","32000","島根県","1.98","","2.49","","","","","","","","",""
"1990年6月","33000","岡山県","1.75","","3.08","","","","","","","","",""
"1990年6月","34000","広島県","1.65","","2.97","","","","","","","","",""
"1990年6月","35000","山口県","1.41","","2.31","","","","","","","","",""
"1990年6月","36000","徳島県","0.98","","1.97","","","","","","","","",""
"1990年6月","37000","香川県","2.24","","3.51","","","","","","","","",""
"1990年6月","38000","愛媛県","1.10","","1.82","","","","","","","","",""
"1990年6月","39000","高知県","0.58","","1.03","","","","","","","","",""
"1990年6月","40000","福岡県","0.80","","1.54","","","","","","","","",""
"1990年6月","41000","佐賀県","1.05","","1.72","","","","","","","","",""
"1990年6月","42000","長崎県","1.03","","1.72","","","","","","","","",""
"1990年6月","43000","熊本県","0.91","","1.44","","","","","","","","",""
"1990年6月","44000","大分県","0.97","","1.42","","","","","","","","",""
"1990年6月","45000","宮崎県","0.85","","1.12","","","","","","","","",""
"1990年6月","46000","鹿児島県","0.80","","1.18","","","","","","","","",""
"1990年6月","47000","沖縄県","0.48","","0.71","","","","","","","","",""
"1990年7月","01000","北海道","0.77","","1.31","","","","","","","","",""
"1990年7月","02000","青森県","0.86","","0.95","","","","","","","","",""
"1990年7月","03000","岩手県","1.50","","2.08","","","","","","","","",""
"1990年7月","04000","宮城県","1.50","","2.31","","","","","","","","",""
"1990年7月","05000","秋田県","1.38","","1.94","","","","","","","","",""
"1990年7月","06000","山形県","1.90","","2.53","","","","","","","","",""
"1990年7月","07000","福島県","1.88","","3.05","","","","","","","","",""
"1990年7月","08000","茨城県","2.12","","3.15","","","","","","","","",""
"1990年7月","09000","栃木県","2.34","","3.59","","","","","","","","",""
"1990年7月","10000","群馬県","2.27","","3.89","","","","","","","","",""
"1990年7月","11000","埼玉県","1.47","","3.13","","","","","","","","",""
"1990年7月","12000","千葉県","1.35","","2.44","","","","","","","","",""
"1990年7月","13000","東京都","1.58","","3.00","","","","","","","","",""
"1990年7月","14000","神奈川県","1.44","","2.82","","","","","","","","",""
"1990年7月","15000","新潟県","1.89","","2.42","","","","","","","","",""
"1990年7月","16000","富山県","2.34","","3.63","","","","","","","","",""
"1990年7月","17000","石川県","2.00","","2.81","","","","","","","","",""
"1990年7月","18000","福井県","2.60","","4.13","","","","","","","","",""
"1990年7月","19000","山梨県","2.73","","4.65","","","","","","","","",""
"1990年7月","20000","長野県","2.51","","4.36","","","","","","","","",""
"1990年7月","21000","岐阜県","2.67","","4.24","","","","","","","","",""
"1990年7月","22000","静岡県","2.03","","3.48","","","","","","","","",""
